party,infants,water,budget,physician,salvador,religious,satellite,aid,missile,immigration,synfuels,education,superfund,crime,duty_free_exports,eaa_rsa
democrat,1,n,1,n,n,n,1,1,1,1,1,n,n,n,1,1
democrat,1,1,1,n,n,n,1,1,n,1,1,n,n,?,1,1
democrat,1,n,1,n,n,n,1,n,1,1,1,n,n,n,1,1
democrat,1,n,1,n,1,1,n,n,n,n,n,n,n,n,n,1
democrat,1,n,1,n,1,1,n,?,?,n,1,?,?,?,1,1
democrat,n,n,?,n,1,1,n,n,n,n,1,1,1,1,n,1
democrat,1,n,n,n,1,1,1,n,n,1,1,n,n,1,n,1
democrat,1,1,1,n,n,1,1,1,1,1,n,n,n,n,n,1
republican,n,n,n,1,1,1,n,n,n,1,?,1,1,1,n,n
democrat,1,n,n,n,1,1,n,n,n,n,1,1,n,1,n,1
democrat,1,n,1,n,1,1,1,n,n,n,1,n,n,1,n,1
democrat,1,n,1,n,1,1,1,n,?,n,1,n,1,1,1,?
democrat,1,n,n,n,1,1,?,n,?,n,n,n,n,1,?,n
democrat,?,?,?,?,n,1,1,1,1,1,?,n,1,1,n,?
democrat,1,1,1,n,n,n,n,1,1,n,1,n,n,n,1,1
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,1,n,1
republican,n,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?
democrat,1,?,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,1,?,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,n,n,1,n,n,n,1,1,1,1,n,n,n,n,1,1
republican,n,?,n,1,1,1,n,n,n,1,n,1,1,1,n,1
democrat,n,?,1,n,n,1,1,1,n,1,n,n,n,n,1,?
republican,n,?,n,1,1,1,n,n,n,1,n,1,1,1,n,n
democrat,1,?,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,n,?,1,n,?,?,1,1,1,1,?,?,n,n,1,1
democrat,1,n,1,n,n,n,1,1,1,n,1,n,n,n,1,1
republican,1,1,1,1,1,n,1,n,n,n,n,1,1,1,n,1
democrat,n,1,1,n,n,n,n,1,1,1,1,n,n,n,1,1
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,n
republican,n,?,?,1,1,1,n,n,n,1,n,1,1,1,?,1
republican,n,?,n,1,1,1,n,n,n,1,n,1,1,1,n,1
republican,n,n,n,1,1,1,n,n,n,1,n,1,n,1,n,1
republican,1,?,n,1,1,1,n,1,n,n,n,1,1,1,n,1
democrat,n,?,1,n,n,n,1,1,1,n,n,n,n,n,1,1
republican,n,?,n,1,1,1,n,n,n,1,n,1,1,1,n,1
republican,n,?,n,1,1,1,n,n,n,n,n,1,1,1,n,n
democrat,n,?,1,n,n,n,1,1,1,1,1,n,n,1,1,1
democrat,n,?,1,n,n,1,n,1,n,1,1,n,n,n,1,1
democrat,?,?,1,n,n,n,1,1,?,n,?,?,?,?,?,?
democrat,1,?,1,n,?,?,1,1,1,n,n,n,n,n,1,?
democrat,n,n,1,n,n,1,n,1,1,1,n,n,n,1,n,1
republican,n,n,n,1,1,1,n,n,n,1,n,1,1,1,n,?
republican,n,n,n,1,1,1,n,n,n,1,n,1,1,1,n,1
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,?
republican,n,n,n,1,1,1,n,n,n,1,n,1,1,1,n,n
republican,n,1,n,1,1,1,n,n,n,1,1,1,1,n,n,1
democrat,n,?,1,n,n,1,1,1,1,1,n,n,n,1,1,1
democrat,n,n,1,n,n,1,1,1,1,1,n,n,n,1,n,1
democrat,1,n,1,n,n,1,1,1,1,n,n,n,n,n,1,1
republican,n,n,n,1,n,n,1,1,1,1,n,n,1,1,n,1
republican,n,n,n,1,1,1,1,1,1,1,n,1,1,1,?,1
republican,n,n,n,1,1,1,1,1,1,1,n,1,1,1,n,1
democrat,?,1,n,n,n,n,1,1,1,1,1,n,n,1,1,1
democrat,n,?,n,n,n,1,1,1,1,1,n,n,n,1,n,?
democrat,n,n,1,n,n,1,1,1,1,1,n,n,n,1,?,1
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,1,n,1
democrat,n,n,n,n,n,n,1,1,1,1,n,1,1,1,1,1
republican,n,1,n,1,1,1,n,n,n,1,1,1,1,1,n,1
democrat,n,n,1,n,n,n,1,1,1,1,n,n,1,n,1,1
republican,1,1,n,1,1,1,n,n,n,1,n,1,1,1,n,1
democrat,1,1,?,1,1,1,n,n,1,n,1,?,1,1,n,n
democrat,n,1,1,n,n,1,n,1,1,1,1,n,1,n,1,1
democrat,n,n,1,n,n,1,1,1,1,1,1,n,1,1,n,1
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,1,n,n
republican,1,1,n,1,1,1,n,?,n,n,1,1,1,1,n,n
republican,1,1,n,1,1,1,1,n,n,n,n,1,1,1,n,n
democrat,n,1,1,n,n,1,n,1,1,n,1,n,?,?,?,?
republican,n,1,n,1,1,1,n,n,n,1,n,1,1,1,n,n
democrat,n,1,1,n,?,1,1,1,1,1,1,n,n,?,n,?
democrat,n,1,n,n,1,1,n,n,n,n,n,1,1,1,1,1
democrat,n,n,n,n,1,1,1,n,n,n,n,1,1,1,n,1
democrat,n,1,1,n,1,1,1,n,n,n,1,1,1,1,n,1
republican,n,1,n,1,1,1,1,n,n,n,n,1,1,1,n,1
democrat,1,1,n,n,1,1,n,n,n,1,1,1,1,1,n,?
democrat,n,1,1,n,n,1,1,1,1,1,1,n,1,n,1,?
republican,1,n,1,1,1,1,1,1,n,1,n,1,n,1,1,1
republican,1,n,1,1,1,1,1,1,n,1,1,1,n,1,1,1
democrat,n,n,1,1,1,1,n,n,1,n,n,n,1,1,1,?
democrat,1,n,1,n,n,n,1,1,1,1,1,n,n,1,n,1
democrat,1,n,1,n,n,n,?,1,1,?,n,n,n,n,1,?
republican,n,?,n,1,1,1,n,n,n,1,n,1,1,1,n,1
democrat,n,1,1,n,n,n,1,1,1,1,n,n,?,n,1,1
democrat,n,n,n,n,1,1,n,n,n,1,1,1,1,1,n,1
democrat,1,?,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,n,1,1,n,n,n,1,1,1,1,n,n,n,n,1,1
republican,n,n,1,1,n,n,1,1,1,1,n,n,n,1,1,1
democrat,n,n,1,n,n,n,1,1,1,1,1,?,n,n,1,1
democrat,?,n,1,n,n,n,1,1,1,1,1,?,n,n,1,?
democrat,1,n,1,n,n,n,1,1,1,1,n,n,n,n,1,1
democrat,?,?,1,n,n,n,1,1,1,?,?,n,n,n,?,?
democrat,n,n,1,n,n,n,1,1,1,1,1,n,n,n,1,1
democrat,1,?,1,n,n,n,1,1,1,n,n,n,n,n,1,1
democrat,?,?,?,?,?,?,?,?,1,?,?,?,?,?,?,?
democrat,n,n,1,n,n,n,1,1,1,1,1,n,n,n,1,1
democrat,1,n,1,n,n,n,1,1,1,1,n,?,n,n,1,1
democrat,n,1,1,n,n,n,1,1,1,1,1,n,n,n,1,1
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,1,?
republican,1,?,n,1,1,1,1,1,n,n,n,1,?,1,?,?
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,1,1
republican,n,?,n,1,1,1,n,n,n,n,n,1,1,1,n,?
republican,n,1,n,1,1,1,n,?,n,1,n,1,1,1,n,?
democrat,n,n,n,n,n,1,1,1,1,n,1,n,n,1,1,1
democrat,n,n,1,n,n,n,1,1,1,n,n,n,n,n,1,1
democrat,n,n,1,n,n,1,1,?,1,1,1,n,n,n,1,1
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,?
democrat,n,n,1,n,n,1,1,1,1,n,1,1,n,1,1,?
republican,n,?,1,1,1,1,n,n,n,1,n,n,n,1,n,1
democrat,n,n,1,n,n,n,1,1,1,1,1,n,?,n,1,?
democrat,1,1,n,n,n,n,1,1,?,n,1,n,n,n,1,?
democrat,n,n,1,n,n,n,1,1,1,n,n,n,n,1,1,1
democrat,1,1,1,n,n,n,1,1,1,n,n,n,n,n,1,1
democrat,1,n,1,n,n,1,1,1,1,1,1,n,n,n,1,1
democrat,1,n,1,n,n,n,1,1,1,1,n,n,n,n,1,1
republican,n,n,1,1,1,1,1,n,n,n,n,1,1,1,n,1
democrat,n,n,1,n,n,1,1,1,1,1,n,1,n,n,n,1
republican,n,n,n,1,1,1,n,n,n,1,n,1,n,1,n,1
republican,1,?,n,1,1,1,1,n,n,1,n,1,1,1,n,1
democrat,n,n,1,n,n,n,1,1,1,n,n,?,n,n,1,1
democrat,1,1,1,n,n,n,1,1,1,1,1,n,n,n,n,1
democrat,n,n,1,n,n,1,1,1,1,n,n,n,n,n,1,1
republican,n,1,n,1,1,1,n,n,n,1,n,1,1,1,n,1
democrat,n,n,1,n,n,n,1,1,1,n,1,n,n,n,1,1
democrat,n,1,1,n,n,1,n,1,1,n,1,n,1,n,1,1
republican,1,1,n,1,1,1,n,n,n,1,n,1,1,1,n,1
democrat,n,1,1,1,1,1,n,n,n,1,1,1,1,1,1,?
democrat,1,1,1,n,1,1,n,n,?,1,n,n,n,1,1,?
republican,n,1,n,1,1,1,n,n,n,1,n,1,1,1,n,n
democrat,1,?,1,n,n,n,1,1,1,n,?,n,n,n,1,?
democrat,n,1,1,n,n,n,n,1,1,n,1,n,n,1,1,1
democrat,n,n,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,n,1,1,n,1,1,n,n,n,n,1,n,n,n,1,?
democrat,1,n,1,n,n,n,1,1,1,n,1,n,n,n,1,?
republican,n,n,n,1,1,n,n,n,n,n,n,1,1,1,n,1
republican,n,1,n,1,1,1,n,n,n,1,n,?,1,1,n,n
republican,n,?,n,1,1,1,n,n,n,n,n,1,1,1,n,1
democrat,n,n,1,n,n,1,1,1,1,n,1,n,n,1,1,1
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,?,1
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,?,n,1
republican,n,1,1,1,1,1,1,n,1,1,n,1,1,1,n,1
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,1,n,1
republican,n,1,n,1,1,1,n,n,1,1,n,1,1,1,n,1
democrat,n,1,1,n,n,n,1,1,n,n,1,n,n,n,1,?
republican,n,1,n,1,1,1,n,n,n,1,n,1,1,1,n,1
democrat,n,n,1,n,n,1,1,1,1,1,n,1,n,1,1,?
republican,n,n,n,1,1,1,n,n,n,1,n,1,n,1,n,1
democrat,n,n,1,n,n,n,1,1,1,n,n,n,n,n,1,1
democrat,1,n,1,n,n,1,1,1,n,n,n,1,1,n,n,1
democrat,1,1,1,n,n,n,1,1,?,1,n,n,n,n,1,?
republican,n,n,n,1,1,1,1,n,n,1,n,n,n,1,1,1
republican,n,n,n,1,n,1,1,?,1,n,n,1,1,1,n,1
democrat,1,n,1,n,n,n,1,1,1,1,1,n,n,1,1,1
republican,n,n,n,n,1,1,1,n,n,n,n,?,n,1,1,1
democrat,n,1,1,n,n,n,1,1,?,1,n,n,1,n,1,1
democrat,1,n,1,n,n,n,n,1,1,1,n,n,n,n,1,1
democrat,1,n,1,n,n,n,1,1,1,1,1,n,n,n,1,1
democrat,n,n,1,n,1,n,1,1,1,n,n,n,n,1,?,1
republican,n,1,n,1,1,1,?,n,n,n,n,?,1,1,n,n
republican,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
democrat,1,n,1,n,n,n,1,1,?,n,1,n,n,n,1,1
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,1,n,n
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,1,n,n
democrat,1,1,1,n,n,1,1,1,1,n,n,n,n,n,1,1
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,1,n,1
democrat,1,n,1,n,n,n,1,1,1,1,n,n,n,n,n,1
democrat,1,n,1,n,n,n,1,1,1,1,n,n,n,1,1,1
republican,n,n,n,1,1,n,n,n,n,n,n,1,n,1,n,n
republican,n,n,n,1,1,n,n,n,n,n,n,1,n,1,?,1
democrat,n,n,1,n,n,n,1,1,1,n,1,n,n,n,1,1
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,n,1
democrat,1,n,1,n,n,n,1,1,1,1,n,n,n,n,n,1
democrat,1,n,1,n,n,?,1,1,1,n,?,?,n,?,?,?
democrat,1,n,1,n,n,n,1,1,1,1,n,n,?,n,1,1
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,1,n,1,n,n,n,1,1,1,1,n,n,n,n,n,1
republican,n,n,n,1,1,1,n,n,n,1,n,1,n,1,n,1
republican,1,n,n,n,n,n,1,1,1,1,n,n,n,1,n,1
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,n,1
democrat,1,1,1,n,n,n,1,1,1,n,n,n,n,n,1,1
democrat,n,1,1,n,n,1,1,1,1,n,?,n,n,n,n,1
democrat,1,n,1,n,n,n,1,1,1,1,n,n,n,n,1,?
republican,n,n,n,1,1,n,1,1,n,1,n,1,1,1,?,1
republican,1,n,n,1,1,n,1,n,n,1,n,n,n,1,1,1
democrat,n,n,1,n,1,1,n,n,n,n,?,n,1,1,n,n
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,1,n
republican,n,n,1,1,1,1,1,1,n,1,n,n,n,1,n,1
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,1
republican,n,n,n,1,1,1,n,n,n,1,n,1,1,1,n,n
democrat,n,n,1,n,n,n,1,1,1,1,n,n,n,1,n,1
republican,1,n,1,1,1,1,1,1,n,n,n,n,n,1,n,?
republican,1,n,n,1,1,1,n,n,n,1,n,?,1,1,n,n
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,1
democrat,n,n,1,n,n,1,1,1,1,1,1,n,n,n,?,1
democrat,n,n,1,n,n,1,1,1,1,1,1,n,n,n,1,1
democrat,n,n,1,n,n,1,?,1,?,1,1,1,n,1,1,?
democrat,1,1,1,?,n,1,1,1,1,n,1,n,1,n,?,1
democrat,1,1,1,n,1,1,n,1,n,1,1,n,1,1,1,1
democrat,1,1,1,n,1,1,n,1,n,1,1,n,1,1,n,?
democrat,1,n,1,n,?,1,?,1,1,1,n,n,1,1,n,1
democrat,1,n,1,n,n,1,1,1,1,1,n,?,n,1,n,1
democrat,1,n,1,n,n,1,1,1,n,1,1,n,1,1,1,1
democrat,1,1,1,n,n,1,1,1,1,1,1,n,1,1,1,1
democrat,n,1,1,n,n,1,1,1,n,1,1,n,1,1,n,?
republican,n,1,n,1,1,1,?,?,n,1,n,1,?,?,?,?
republican,n,n,1,1,1,1,n,n,n,1,n,1,1,1,1,1
democrat,1,1,1,n,n,1,1,1,1,1,n,n,?,n,1,?
democrat,n,1,n,n,n,n,1,1,1,1,1,n,n,n,1,1
democrat,n,1,1,n,n,1,1,1,1,1,n,n,1,1,1,1
republican,n,n,n,1,1,n,1,1,1,1,n,1,1,1,n,1
democrat,n,n,?,n,n,1,1,1,1,n,n,n,n,n,1,1
republican,n,n,n,1,1,1,1,n,n,1,n,1,1,1,n,1
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,n
republican,n,1,n,1,1,1,n,n,n,1,n,1,1,1,n,?
republican,n,n,n,1,1,1,n,n,n,1,n,1,1,1,n,n
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,n
democrat,1,n,1,n,n,1,1,1,1,n,n,n,n,1,n,?
republican,n,n,n,1,1,1,n,n,n,1,n,1,1,1,n,n
democrat,1,n,n,n,n,1,1,1,1,1,n,n,n,1,1,1
republican,n,n,n,1,1,1,n,n,n,1,n,1,1,1,1,n
democrat,n,n,1,n,n,1,1,1,1,1,n,n,1,n,n,1
democrat,1,1,1,n,n,n,1,1,1,1,n,n,n,n,1,1
republican,n,1,1,1,1,1,n,n,n,1,n,1,1,1,n,1
republican,n,1,n,1,1,1,1,1,n,n,1,1,1,1,1,1
republican,n,1,1,1,1,1,1,?,n,n,n,n,?,?,1,?
democrat,n,n,n,n,n,1,n,1,1,n,1,1,1,1,1,n
democrat,1,n,n,n,n,n,1,1,1,1,n,n,n,n,1,1
democrat,n,n,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,n,1,1,n,n,1,n,1,1,1,n,n,1,1,n,1
democrat,1,1,1,n,n,n,1,1,1,1,n,n,1,n,n,1
democrat,1,1,1,n,?,1,n,?,n,n,1,n,1,1,n,?
democrat,1,1,1,n,1,1,n,1,?,1,n,n,1,1,n,?
republican,n,1,n,1,1,1,n,n,n,n,1,1,1,1,n,n
democrat,n,1,n,n,1,1,n,n,?,n,n,1,1,1,n,1
democrat,1,1,n,1,n,n,1,1,1,n,1,n,n,1,n,1
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,1,n,1
democrat,1,1,1,n,n,n,1,1,1,n,1,n,n,n,n,1
democrat,1,?,1,n,n,1,1,1,1,1,n,n,n,n,1,?
republican,n,1,n,1,1,1,n,n,n,1,n,1,1,1,n,n
democrat,1,?,1,n,n,n,1,1,1,n,n,n,n,n,1,?
democrat,1,n,1,n,n,n,1,1,1,n,1,n,n,n,1,?
democrat,n,n,1,n,n,n,1,1,1,n,n,n,n,n,1,1
democrat,n,1,1,n,n,1,1,1,?,n,1,1,n,n,1,1
republican,n,n,n,1,1,1,n,n,n,1,1,1,1,1,n,?
democrat,n,n,1,n,n,1,1,1,n,n,1,n,n,1,?,1
democrat,1,n,1,n,n,n,1,1,1,n,n,n,n,n,1,1
democrat,1,n,1,n,n,n,1,1,1,1,n,n,n,1,1,1
republican,1,n,n,1,1,1,n,n,n,n,1,1,1,1,n,n
republican,n,n,n,1,1,1,n,n,n,1,1,1,n,1,n,1
democrat,n,?,1,?,n,1,1,1,1,1,1,n,?,?,1,1
democrat,n,1,1,n,1,?,1,n,n,1,1,n,1,n,1,1
republican,n,n,n,1,1,n,1,n,1,1,n,n,n,1,n,1
democrat,n,n,1,n,n,n,1,1,1,1,1,n,n,n,1,1
republican,n,n,n,1,1,1,1,n,n,1,n,1,n,1,1,1
republican,n,n,n,1,1,1,n,n,n,1,n,1,1,1,n,1
republican,1,n,n,1,1,1,n,n,n,1,n,1,1,1,n,n
democrat,1,n,1,n,n,n,1,1,1,1,n,1,n,n,1,?
republican,n,1,1,1,1,1,1,1,1,n,n,1,1,1,n,1
democrat,n,1,n,n,n,1,1,n,1,n,1,n,n,n,1,1
republican,n,n,1,1,1,1,1,1,1,1,n,1,1,1,1,1
democrat,n,1,n,1,n,1,1,1,1,n,1,n,1,n,1,?
republican,n,n,1,1,1,1,1,n,n,1,1,1,1,1,n,1
democrat,n,1,1,n,n,1,1,1,1,1,n,?,n,n,1,1
republican,1,n,1,1,n,n,n,1,1,1,n,n,n,1,1,1
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,n
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,n
democrat,1,1,1,n,n,1,1,1,1,1,1,1,1,1,n,?
republican,n,n,n,1,1,1,n,n,n,1,?,1,1,1,n,1
democrat,1,n,1,n,n,1,1,1,1,1,n,n,1,n,n,1
democrat,1,n,1,n,1,1,1,n,1,1,n,n,1,1,n,?
democrat,1,1,1,n,n,1,1,1,1,1,1,1,1,n,n,1
republican,1,1,n,1,1,1,n,n,n,1,1,n,1,n,n,n
republican,1,1,n,1,1,1,n,n,n,n,1,n,1,1,n,1
democrat,n,1,n,n,1,1,n,n,n,1,1,n,1,1,n,n
democrat,1,n,1,n,n,n,1,1,n,1,1,n,n,n,n,?
democrat,1,1,1,n,1,1,1,1,n,1,1,n,n,n,1,?
democrat,n,1,1,n,n,1,1,1,n,1,n,n,n,n,1,1
republican,n,1,n,1,1,1,n,n,n,n,n,n,1,1,n,1
democrat,1,1,1,n,?,1,1,1,n,1,?,?,n,n,1,1
democrat,1,1,1,n,?,n,1,1,1,1,n,n,n,n,1,?
democrat,n,1,1,1,1,1,n,n,n,n,1,1,?,1,n,n
democrat,n,1,1,?,1,1,n,1,n,1,?,n,1,1,?,1
republican,n,1,n,1,1,1,n,n,n,n,n,1,1,1,n,1
democrat,n,1,n,1,1,1,n,n,n,n,1,1,n,1,n,n
democrat,1,?,1,n,n,n,1,1,1,n,1,n,n,n,1,1
republican,n,1,n,1,1,1,?,?,n,n,?,?,1,?,?,?
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,1
republican,n,n,n,1,1,1,n,n,n,n,n,1,1,1,n,1
democrat,1,1,1,n,n,1,?,1,1,n,1,n,1,n,1,1
democrat,1,1,1,n,1,1,1,1,1,1,1,n,1,1,n,?
democrat,1,1,n,1,1,1,n,n,n,n,1,n,1,1,n,?
democrat,1,1,1,n,1,1,n,1,1,1,1,n,n,n,n,1
democrat,1,1,1,1,1,1,n,n,n,n,1,1,1,1,n,1
democrat,1,1,n,n,1,1,n,n,n,n,1,1,1,1,1,n
democrat,n,?,1,n,1,1,n,1,n,n,1,n,n,n,n,?
democrat,1,1,1,n,1,1,n,1,1,n,1,n,n,1,n,?
democrat,n,1,1,1,1,1,n,n,n,n,n,1,1,1,n,?
